J;Gen;t_b;t_l;t_d;Des1;Des2
1;N;0;0.2010258010327123;0.2010258010327123;2;3
2;M;0.2010258010327123;0.047808073782939796;0.2488338748156521;4;5
3;N;0.2010258010327123;0.10287012314229517;0.3038959241750075;6;7
4;N;0.2488338748156521;0.34598503218299276;0.5948189069986449;8;9
5;M;0.2488338748156521;1.5916207330018832;1.8404546078175352;41;42
6;N;0.3038959241750075;0.5048822891424413;0.8087782133174488;12;13
7;N;0.3038959241750075;7.032596638781689;7.336492562956696;-1;-1
8;N;0.5948189069986449;0.02416209039600531;0.6189809973946503;10;11
9;N;0.5948189069986449;0.6063923292275047;1.2012112362261496;21;22
10;N;0.6189809973946503;0.350666427781391;0.9696474251760413;15;16
11;N;0.6189809973946503;3.016698702031328;3.635679699425978;-1;-1
12;N;0.8087782133174488;2.3128007708538263;3.121578984171275;117;118
13;N;0.8087782133174488;4.321596116805692;5.130374330123141;-1;-1
14;N;0.9696474251760413;4.321596116805692;5.291243541981733;-1;-1
15;N;0.9696474251760413;0.1847634851069808;1.154410910283022;18;19
16;M;0.9696474251760413;0.5189147414728106;1.488562166648852;34;35
17;N;1.154410910283022;4.813076186030367;5.967487096313389;-1;-1
18;M;1.154410910283022;0.18470908660556687;1.339119996888589;23;24
19;N;1.154410910283022;1.9344320473338759;3.088842957616898;111;112
20;N;1.2012112362261496;0.1847634851069808;1.3859747213331304;32;33
21;M;1.2012112362261496;0.14626493468509771;1.3474761709112473;25;26
22;N;1.2012112362261496;1.2226466574893304;2.42385789371548;58;59
23;N;1.339119996888589;0.010505514167987085;1.349625511056576;28;29
24;M;1.339119996888589;0.303721443868482;1.642841440757071;36;-1
25;N;1.3474761709112473;1.3636302732802237;2.711106444191471;73;74
26;M;1.3474761709112473;2.7423664757235873;4.0898426466348345;-1;-1
27;N;1.349625511056576;0.024455793001541923;1.374081304058118;30;31
28;N;1.349625511056576;0.4881617782219726;1.8377872892785487;39;40
29;M;1.349625511056576;2.0524537504763627;3.402079261532939;160;161
30;N;1.374081304058118;0.2911245124896049;1.6652058165477228;37;38
31;N;1.374081304058118;0.9013615155334808;2.2754428195915986;50;51
32;N;1.3859747213331304;0.9584015631789543;2.3443762845120846;53;54
33;N;1.3859747213331304;3.0887018007927836;4.474676522125914;-1;-1
34;M;1.488562166648852;0.5802409414217147;2.0688031080705667;44;45
35;N;1.488562166648852;2.7424039187090616;4.230966085357913;-1;-1
36;M;1.642841440757071;0.3667571980617042;2.009598638818775;43;-1
37;N;1.6652058165477228;1.5780182767706803;3.2432240933184033;138;139
38;M;1.6652058165477228;1.9623110795481982;3.627516896095921;-1;-1
39;M;1.8377872892785487;0.6495377854637716;2.48732507474232;60;61
40;N;1.8377872892785487;1.1895647057935663;3.027351995072115;104;105
41;N;1.8404546078175352;0.805211951305916;2.6456665591234514;67;68
42;M;1.8404546078175352;2.9537888348162937;4.794243442633829;-1;-1
43;M;2.009598638818775;0.2383366216733116;2.2479352604920866;46;-1
44;N;2.0688031080705667;0.1992109624447741;2.2680140705153407;47;48
45;M;2.0688031080705667;1.1881002668223184;3.256903374892885;142;143
46;M;2.2479352604920866;0.49763649463102766;2.7455717551231142;75;76
47;N;2.2680140705153407;0.6121603943990782;2.8801744649144188;87;88
48;N;2.2680140705153407;2.0513904245787367;4.319404495094077;-1;-1
49;N;2.2754428195915986;1.1895647057935663;3.4650075253851647;179;180
50;M;2.2754428195915986;0.2278073552992873;2.5032501748908857;62;-1
51;N;2.2754428195915986;2.1727973924837585;4.448240212075357;-1;-1
52;N;2.3443762845120846;-1;1.3443762845120846;-1;-1
53;M;2.3443762845120846;0.06599226585075474;2.4103685503628394;55;56
54;N;2.3443762845120846;8.741496990120824;11.08587327463291;-1;-1
55;M;2.4103685503628394;0.658106834853485;3.0684753852163245;108;-1
56;N;2.4103685503628394;0.838941993960293;3.2493105443231323;140;141
57;N;2.42385789371548;0.2383366216733116;2.6621945153887916;69;70
58;N;2.42385789371548;1.1524196451645565;3.5762775388800367;208;209
59;M;2.42385789371548;1.5818546013685384;4.005712495084019;-1;-1
60;M;2.48732507474232;0.01893702549979163;2.506262100242112;63;64
61;N;2.48732507474232;0.3301341788398313;2.817459253582151;82;83
62;M;2.5032501748908857;0.0722806407156419;2.5755308156065277;65;66
63;M;2.506262100242112;0.5254141778105968;3.031676278052709;106;107
64;N;2.506262100242112;0.6326174994786039;3.138879599720716;120;121
65;N;2.5755308156065277;0.20298334227649625;2.778514157883024;80;81
66;M;2.5755308156065277;0.30486735283395283;2.8803981684404807;89;90
67;N;2.6456665591234514;0.12017612966506427;2.7658426887885157;78;79
68;N;2.6456665591234514;0.5575534005037985;3.20321995962725;128;129
69;N;2.6621945153887916;0.019621356249264085;2.681815871638056;71;72
70;N;2.6621945153887916;0.7606377336819297;3.422832249070721;169;170
71;M;2.681815871638056;1.312474893049774;3.99429076468783;-1;-1
72;N;2.681815871638056;1.9164741767546574;4.598290048392713;-1;-1
73;N;2.711106444191471;0.5173216305542457;3.228428074745717;134;135
74;M;2.711106444191471;0.7100713907420069;3.421177834933478;167;168
75;M;2.7455717551231142;0.4316707245203456;3.1772424796434597;126;127
76;N;2.7455717551231142;1.691530525093532;4.437102280216646;-1;-1
77;N;2.7658426887885157;0.19594202008180633;2.961784708870322;100;101
78;N;2.7658426887885157;0.2418026853771495;3.0076453741656652;102;103
79;M;2.7658426887885157;0.5471148183485832;3.312957507137099;153;-1
80;N;2.778514157883024;0.05436482646921814;2.832878984352242;85;86
81;N;2.778514157883024;1.0950064165628073;3.8735205744458314;-1;-1
82;N;2.817459253582151;0.4797884986023704;3.2972477521845214;146;147
83;N;2.817459253582151;1.6659392811257814;4.483398534707932;-1;-1
84;N;2.832878984352242;0.0722806407156419;2.905159625067884;92;93
85;N;2.832878984352242;0.0724162163021585;2.9052952006544004;94;95
86;M;2.832878984352242;2.2215716296505863;5.054450614002828;-1;-1
87;N;2.8801744649144188;0.07370204230540962;2.9538765072198285;97;98
88;N;2.8801744649144188;0.9490609190702383;3.829235383984657;-1;-1
89;N;2.8803981684404807;0.295676634409926;3.1760748028504064;124;125
90;M;2.8803981684404807;1.1568786002398146;4.037276768680295;-1;-1
91;N;2.905159625067884;0.20298334227649625;3.10814296734438;113;114
92;M;2.905159625067884;0.24169997544988078;3.146859600517765;122;123
93;N;2.905159625067884;0.5311989032019402;3.436358528269824;172;173
94;N;2.9052952006544004;0.20461466975840276;3.109909870412803;115;116
95;N;2.9052952006544004;0.7884423431819796;3.69373754383638;-1;-1
96;N;2.9538765072198285;0.7606377336819297;3.7145142409017584;-1;-1
97;N;2.9538765072198285;0.622073982906522;3.575950490126351;206;207
98;M;2.9538765072198285;1.9131857958157257;4.867062303035555;-1;-1
99;N;2.961784708870322;1.9164741767546574;4.878258885624979;-1;-1
100;N;2.961784708870322;0.4835922893905498;3.445376998260872;175;176
