№;Состояние;N_сост;%nu_сост;T_сост;%DELTA_сост
0;(1, 0);2;0.02;0.2560878503920677;0.07161
1;(1, 1);1;0.01;0.0478080737829398;0.01337
2;(2, 0);1;0.01;0.29092298282363743;0.08135
3;(3, 0);1;0.01;0.024162090396005365;0.00676
4;(4, 0);1;0.01;0.18979721592279852;0.05307
5;(5, 0);1;0.01;0.1608692118585925;0.04498
6;(6, 0);2;0.02;0.23156381105010826;0.06475
7;(6, 1);2;0.02;0.14626493468509771;0.0409
8;(6, 2);2;0.02;0.02660513314687063;0.00744
9;(6, 3);1;0.01;0.011893417275012474;0.00333
10;(7, 3);1;0.01;0.10258744531572161;0.02869
11;(8, 3);2;0.02;0.17664364989887082;0.04939
12;(8, 4);1;0.01;0.1725814727308259;0.04826
13;(9, 4);1;0.01;0.002667318538986496;0.00075
14;(10, 4);1;0.01;0.16914403100123998;0.0473
15;(10, 3);1;0.01;0.05920446925179146;0.01655
16;(11, 3);2;0.02;0.199210962444774;0.0557
17;(11, 4);2;0.02;0.0734210149270127;0.02053
18;(11, 5);1;0.01;0.06893346492048602;0.01928
19;(12, 4);2;0.02;0.07695652437948075;0.02152
20;(13, 4);2;0.02;0.018937025499791815;0.0053
21;(14, 4);2;0.02;0.13940445888133945;0.03898
22;(14, 5);3;0.03;0.07061462344624747;0.01975
23;(14, 6);1;0.01;0.029290572553415384;0.00819
24;(15, 5);2;0.02;0.03294240275990967;0.00921
25;(15, 6);1;0.01;0.0389450956991273;0.01089
26;(16, 6);2;0.02;0.06271521133226754;0.01754
27;(16, 5);1;0.01;0.00022370352606193578;6e-05
28;(17, 5);1;0.01;0.024761456627403255;0.00692
29;(18, 5);1;0.01;0.0001355755865164454;4e-05
30;(19, 5);1;0.01;0.04858130656542814;0.01358
31;(20, 5);1;0.01;0.007908201650493663;0.00221
32;(20, 6);2;0.02;0.050184948275937113;0.01403
33;(20, 7);1;0.01;0.01970662090644959;0.00551
34;(21, 6);2;0.02;0.05421225504550975;0.01516
35;(21, 7);1;0.01;0.0029544245186792217;0.00083
36;(22, 7);1;0.01;0.019300009727482248;0.0054
37;(23, 7);2;0.02;0.013436016826894992;0.00376
38;(23, 8);1;0.01;0.017300615549440845;0.00484
39;(24, 8);1;0.01;0.00798000079704897;0.00223
40;(25, 8);2;0.02;0.030382879125694817;0.0085
41;(25, 9);1;0.01;0.025977479983790186;0.00726
42;(26, 9);2;0.02;0.009361682398875804;0.00262
43;(26, 10);2;0.02;0.017212291863323514;0.00481
44;(26, 11);1;0.01;0.013430159428954092;0.00376
45;(26, 12);1;0.01;0.006086451004728932;0.0017
46;(26, 13);1;0.01;0.007592830569752795;0.00212
47;(27, 13);2;0.02;0.04034437729163631;0.01128
48;(28, 13);1;0.01;0.0025385442114780332;0.00071
49;(28, 14);1;0.01;0.003736120700242651;0.00104
50;(29, 14);1;0.01;0.007784846656655908;0.00218
51;(29, 15);1;0.01;0.0016502433842009445;0.00046
52;(30, 15);3;0.03;0.08710920850248893;0.02436
53;(30, 16);1;0.01;0.002012545893351092;0.00056
54;(31, 15);1;0.01;0.0032325279551415065;0.0009
55;(31, 16);1;0.01;0.0037622758679360935;0.00105
56;(32, 16);1;0.01;0.011097418775241952;0.0031
57;(33, 16);1;0.01;0.0010063508022195577;0.00028
58;(34, 16);1;0.01;0.0016544141372429877;0.00046
59;(34, 17);1;0.01;0.013526279199103097;0.00378
60;(34, 18);1;0.01;0.00901846999104805;0.00252
61;(35, 18);1;0.01;0.01062643869283475;0.00297
62;(35, 19);2;0.02;0.009031983600781501;0.00253
63;(35, 20);1;0.01;0.028173360047657248;0.00788
64;(36, 19);3;0.03;0.00759718218200911;0.00212
65;(36, 20);1;0.01;0.010339552698147347;0.00289
66;(37, 20);1;0.01;0.002425918083258871;0.00068
67;(37, 19);1;0.01;0.012419019635502515;0.00347
68;(38, 19);4;0.04;0.03750018931435495;0.01049
69;(38, 20);1;0.01;0.012786896364618272;0.00358
